Rank	Mountain peak	State	Mountain Range	Elevation	Prominence	Isolation	Location
84	Mount Wrangell[195][196]	 Alaska	Wrangell Mountains	"14,163 ft
4317 m"	"5,613 ft
1711 m"	"14.79 mi
23.8 km"	62.0059°N 144.0187°W
85	South Sister[197][198][199]	 Oregon	Cascade Range	"10,363 ft
3158.5 m"	"5,593 ft
1705 m"	"39.4 mi
63.4 km"	44.1035°N 121.7693°W
86	Devils Paw[200][201][cn]	" Alaska
 British Columbia"	Coast Mountains	"8,507 ft
2593 m"	"5,587 ft
1703 m"	"84.7 mi
136.3 km"	58.7289°N 133.8402°W
87	Mount Seattle[202][203]	 Alaska	Saint Elias Mountains	"10,350 ft
3155 m"	"5,561 ft
1695 m"	"11.97 mi
19.26 km"	60.0680°N 139.1893°W
88	Sierra Blanca Peak[204][205][206][co]	 New Mexico	Sacramento Mountains	"11,981 ft
3651.8 m"	"5,553 ft
1693 m"	"165.7 mi
267 km"	33.3743°N 105.8087°W
89	Pikes Peak[207][208][209][cp]	 Colorado	Front Range	"14,115 ft
4302.31 m"	"5,530 ft
1686 m"	"60.6 mi
97.6 km"	38.8405°N 105.0442°W
90	Mount Russell[210][211][cq]	 Alaska	Alaska Range	"11,670 ft
3557 m"	"5,520 ft
1682 m"	"14.07 mi
22.7 km"	62.7984°N 151.8845°W
91	Mount Nebo[212][213][cr][cs]	 Utah	Wasatch Range	"11,933 ft
3637 m"	"5,508 ft
1679 m"	"75.6 mi
121.6 km"	39.8219°N 111.7603°W
92	Snowshoe Peak[214][215][ct][cu]	 Montana	Cabinet Mountains	"8,743 ft
2665 m"	"5,438 ft
1658 m"	"82.9 mi
133.5 km"	48.2231°N 115.6890°W
93	North Schell Peak[216][217][218][cv]	 Nevada	Schell Creek Range	"11,895 ft
3625.6 m"	"5,413 ft
1650 m"	"23.5 mi
37.9 km"	39.4132°N 114.5997°W
94	Hayford Peak[219][220][221][cw]	 Nevada	Sheep Range	"9,924 ft
3024.9 m"	"5,412 ft
1650 m"	"33.8 mi
54.3 km"	36.6577°N 115.2008°W
95	Mount Foresta[222][223]	 Alaska	Saint Elias Mountains	"11,050 ft
3368 m"	"5,400 ft
1646 m"	"12.51 mi
20.1 km"	60.1912°N 139.4323°W
	Star Peak[224][225][226][cx]	 Nevada	Humboldt Range	"9,840 ft
2999.1 m"	"5,400 ft
1646 m"	"69 mi
111.1 km"	40.5224°N 118.1708°W
97	"Peak 5390[227][228][cy]
(Veniaminof Peak)"	 Alaska	Baranof Island	"5,390 ft
1643 m"	"5,390 ft
1643 m"	"79.7 mi
128.3 km"	57.0151°N 134.9882°W
98	Diamond Peak[229][230][231][cz]	 Idaho	Lemhi Range	"12,202 ft
3719.3 m"	"5,387 ft
1642 m"	"31.8 mi
51.2 km"	44.1414°N 113.0827°W
99	Flat Top Mountain[232][233][da][db]	 Utah	Oquirrh Mountains	"10,624 ft
3238 m"	"5,383 ft
1641 m"	"23.8 mi
38.4 km"	40.3724°N 112.1888°W
100	"8517 Peak[234][235][dc]
(Bearhole Peak)"	 Alaska	Saint Elias Mountains	"8,517 ft
2596 m"	"5,367 ft
1636 m"	"9.71 mi
15.62 km"	60.9283°N 142.5237°W
101	Mount Steller[236][237][dd]	 Alaska	Chugach Mountains	"10,515 ft
3205 m"	"5,365 ft
1635 m"	"22.5 mi
36.2 km"	60.5199°N 143.0932°W
102	Mount Stuart[238][239][240][de][df]	 Washington	Wenatchee Mountains	"9,420 ft
2871 m"	"5,354 ft
1632 m"	"44.5 mi
71.6 km"	47.4751°N 120.9024°W
103	Blanca Peak[241][242][dg][dh][di]	 Colorado	Sangre de Cristo Mountains	"14,351 ft
4374 m"	"5,326 ft
1623 m"	"103.4 mi
166.4 km"	37.5775°N 105.4856°W
104	Mount Miller[243][244][dj]	 Alaska	Chugach Mountains	"10,750 ft
3277 m"	"5,300 ft
1615 m"	"40.3 mi
64.9 km"	60.4605°N 142.3012°W
105	Mount Carlisle[245][246][247][dk]	 Alaska	Carlisle Island	"5,283 ft
1610 m"	"5,283 ft
1610 m"	"6.64 mi
10.68 km"	52.8913°N 170.0580°W
106	Mount Timpanogos[248][249][250][dl]	 Utah	Wasatch Range	"11,752 ft
3582 m"	"5,279 ft
1609 m"	"39.6 mi
63.8 km"	40.3908°N 111.6459°W
107	Bashful Peak[251][252][dm]	 Alaska	Chugach Mountains	"8,005 ft
2440 m"	"5,275 ft
1608 m"	"22.1 mi
35.5 km"	61.3076°N 148.8697°W
108	Ibapah Peak[253][254][dn][do]	 Utah	Deep Creek Range	"12,092 ft
3686 m"	"5,267 ft
1605 m"	"61.2 mi
98.5 km"	39.8282°N 113.9200°W
109	Mount Cleveland[255][256][257][dp]	 Montana	Lewis Range	"10,479 ft
3194 m"	"5,246 ft
1599 m"	"99.4 mi
159.9 km"	48.9249°N 113.8482°W
110	Kawaikini[258][259][dq]	 Hawaii	Island of Kauaʻi	"5,243 ft
1598 m"	"5,243 ft
1598 m"	"204 mi
328 km"	22.0586°N 159.4973°W
111	She Devil[260][261][dr][ds]	 Idaho	Seven Devils Mountains	"9,424 ft
2873 m"	"5,240 ft
1597 m"	"31.5 mi
50.6 km"	45.3240°N 116.5406°W
	Tetlin Peak[262][263]	 Alaska	Alaska Range	"8,365 ft
2550 m"	"5,240 ft
1597 m"	"25.5 mi
41.1 km"	62.6215°N 143.1084°W
113	Arc Dome[264][265][dt][du]	 Nevada	Toiyabe Range	"11,778 ft
3590 m"	"5,233 ft
1595 m"	"23.1 mi
37.2 km"	38.8327°N 117.3531°W
