Continent,state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
NORTHERN AMERICA,Alaska,Mount Neacola,2873,2742,2370,60.7981,-153.3959,-153.930139999805,61.0563636108929,-153.930139999805,61.0563636108929
NORTHERN AMERICA,Idaho,She Devil,2873,2496,2213,45.324,-116.5406,-116.899262417638,45.5754196487845,-116.601131644862,45.3330268072267
NORTHERN AMERICA,Washington,Mount Stuart,2871,2530,2046,47.4751,-120.9024,-121.287623637763,47.7339862579041,-120.758275562224,47.5186774971893
SOUTHERN AMERICA,Honduras,Cerro Las Minas,2870,2386,1926,14.5339444444444,-88.6802,-88.9481450241006,14.7950320753922,-88.6509194642875,14.5940902098749
NORTHERN AMERICA,Alaska,Shishaldin Volcano,2869,2869,2625,54.7536,-163.969488888889,-164.419906961159,55.0126942444227,-164.419906961159,55.0126942444227
EUROPE,Slovenia,Triglav,2864,2555,2286,46.3783333333333,13.8363888888889,13.4592786764104,46.6374744995625,13.4592786764104,46.6374744995625
NORTHERN AMERICA,Greenland,Stauning Alper,2831,0,0,72.1167,-24.9,-25.7408851379626,72.3709054034171,-25.7408851379626,72.3709054034171
NORTHERN AMERICA,Alaska,Mount Aylesworth,2830,2830,2215,59.9242,-138.7985,-139.310690764774,60.1796927179568,-139.310690764774,60.1796927179568
AFRICA,Cape Verde,Pico do Fogo,2829,2829,2829,14.9492694444444,-24.3403694444444,-24.6049195422999,15.2073652819362,-24.6049195422999,15.2073652819362
NORTHERN AMERICA,Arizona,Kaibab Plateau High Point,2812,1139,1057,36.3958,-112.1509,-112.456679435013,36.6423733438409,-112.456679435013,36.6423733438409
SOUTHERN AMERICA,Venezuela,Monte Roraima,2810,2279,1605,5.14194444444444,-60.7641666666667,-60.7468022510615,5.23169553028214,-60.7761168934198,5.12996239660523
AUSTRALASIA,New Zealand North,Mount Ruapehu,2797,2235,1567,-39.2894444444444,175.5625,175.235135830356,-39.0331273444047,175.535317441134,-39.2925487963468
NORTHERN AMERICA,Arizona,Mount Lemmon,2792,2047,1684,32.443,-110.7885,-111.087569610005,32.6947289410489,-110.834174930845,32.4448403492616
NORTHERN AMERICA,Washington,Mount Shuksan,2784,2570,2528,48.8314444444444,-121.602988888889,-121.986487603046,49.0824553683275,-121.986487603046,49.0824553683275
NORTHERN AMERICA,Nevada,Jackson Mountain,2773,1497,1162,41.3033,-118.4163,-118.352251210886,41.2908114669886,-118.723477432373,41.5335302814019
NORTHERN AMERICA,Yukon,Mount Nirvana,2773,2145,2007,61.8752388888889,-127.680627777778,-127.498064794042,61.9073765086695,-128.18639556762,62.1107117709312
